//14_2_hoeveelheden_aanvullen.ps
//14_2_hoeveelheden_aanvullen.ps from: 10 span: -1 maxanswer: 20 spreiding: -1 step: -1
1#1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19#19
2#1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19#18
3#1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19#17
4#1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19#16
5#1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19#15
6#1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19#14
7#1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19#13
8#1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19#12
9#1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19#11
10#1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19#10
11#1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19#9
12#1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19#8
13#1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19#7
14#1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19#6
15#1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19#5
16#1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19#4
17#1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19#3
18#1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19#2
19#1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19#1
