//11_1_plaats_getallenlijn.ps
//11_1_plaats_getallenlijn.ps from: 10 span: 20 maxanswer: -1 spreiding: -1 step: -1
10#10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25#10
11#10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25#11
12#10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25#12
13#10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25#13
14#10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25#14
15#10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25#15
16#10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25#16
17#10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25#17
18#10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25#18
19#10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25#19
20#10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25#20
21#10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25#21
22#10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25#22
23#10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25#23
24#10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25#24


11#11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26#11
12#11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26#12
13#11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26#13
14#11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26#14
15#11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26#15
16#11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26#16
17#11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26#17
18#11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26#18
19#11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26#19
20#11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26#20
21#11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26#21
22#11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26#22
23#11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26#23
24#11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26#24
25#11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26#25


12#12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27#12
13#12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27#13
14#12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27#14
15#12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27#15
16#12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27#16
17#12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27#17
18#12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27#18
19#12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27#19
20#12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27#20
21#12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27#21
22#12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27#22
23#12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27#23
24#12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27#24
25#12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27#25
26#12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27#26


13#13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28#13
14#13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28#14
15#13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28#15
16#13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28#16
17#13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28#17
18#13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28#18
19#13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28#19
20#13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28#20
21#13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28#21
22#13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28#22
23#13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28#23
